,SH600000,SH600009,SH600015,SH600016,SH600019,SH600028,SH600029,SH600030,SH600031,SH600036,SH600048,SH600050,SH600104,SH600111,SH600132,SH600143,SH600196,SH600276,SH600309,SH600346,SH600406,SH600426,SH600436,SH600438,SH600519,SH600570,SH600584,SH600585,SH600588,SH600600,SH600660,SH600690,SH600703,SH600741,SH600745,SH600763,SH600809,SH600837,SH600887,SH600893,SH600900,SH600999,SH601006,SH601009,SH601088,SH601166,SH601169,SH601318,SH601328,SH601390,SH601398,SH601601,SH601628,SH601668,SH601688,SH601766,SH601857,SH601888,SH601899,SH601919,SH601939,SH601988,SZ000001,SZ000002,SZ000063,SZ000100,SZ000157,SZ000166,SZ000338,SZ000538,SZ000568,SZ000625,SZ000651,SZ000661,SZ000725,SZ000776,SZ000786,SZ000858,SZ000895,SZ000963,SZ002001,SZ002007,SZ002027,SZ002049,SZ002050,SZ002129,SZ002142,SZ002179,SZ002230,SZ002236,SZ002241,SZ002271,SZ002304,SZ002311,SZ002352,SZ002371,SZ300003,SZ300014,SZ300015,SZ300059
2014-07-08,,,,,,0.02,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,,,,,0.02,,,,,0.02,0.02,,0.02,,0.02,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,,,0.02,,,,,0.02
2014-07-09,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,,0.02,,0.02,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,0.02,,,,,,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,,,0.02,,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,,,0.02,,,,,0.02,0.02,0.02
2014-07-10,,0.02,0.02,,,,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,,,,0.02,,,0.02,,,,,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,0.02,0.02,,,0.02,0.02,0.02,,,,0.02,0.02,,,,,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,,0.02,
2014-07-11,0.02,0.02,,,0.02,,,0.02,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,,,,,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,,0.02,0.02,,,0.02,0.02,,,0.02,,,,,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,,,,,,0.02,0.02,0.02
2014-07-14,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,,,,0.02,,,0.02,,0.02,,,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,,,,,,,0.02,0.02,0.02,
2014-07-15,0.02,,0.02,,,0.02,0.02,,,,0.02,0.02,,,,,,,0.02,,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02,,,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,,,,,,,0.02,0.02,0.02,,,,,0.02,,0.02,0.02,0.02
2014-07-16,0.02,,,,0.02,0.02,,0.02,,,0.02,,,,0.02,0.02,,0.02,,,,,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,,0.02,,,,,,,0.02,,,,0.02,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,,0.02,,0.02,,,0.02,,,,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02
2014-07-17,0.02,,0.02,0.02,0.02,0.02,,,,,,,,,0.02,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,,,,,0.02,0.02,,,0.02,,,0.02,0.02,,,,0.02,,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,0.02,,
2014-07-18,0.02,0.02,,,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,,0.02,,,,,,0.02,,,,0.02,,,,,,,,,,0.02,,0.02,0.02,,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,,,0.02,,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02
2014-07-21,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,,,0.02,,,,0.02,,0.02,,,0.02,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,,0.02,0.02,,,,,,,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,0.02,0.02
2014-07-22,0.02,,,,,,0.02,,,,0.02,0.02,,,,0.02,0.02,,,,0.02,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,0.02,0.02,,,,,,,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,
2014-07-23,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,0.02,,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,,,,,,,0.02,,,0.02,,,0.02,0.02,,0.02,,0.02,,,,0.02,0.02,,,,,0.02,0.02,,0.02,0.02,,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,,0.02,,0.02
2014-07-24,0.02,,0.02,,,,,0.02,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,,,,,,,0.02,,,,0.02,0.02,,,,0.02,,0.02,,0.02,,,,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,
2014-07-25,0.02,,0.02,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,0.02,,,,0.02,,0.02,0.02,,,,0.02,,,,0.02,0.02,,,,,,0.02,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,,0.02,,,,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,0.02,,0.02,0.02
2014-07-28,0.02,0.02,,,,,0.02,,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,,0.02,,,0.02,0.02,,0.02,,,,0.02,,0.02,,0.02,0.02,0.02,,
2014-07-29,0.02,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,,,,0.02,,,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,,,0.02,,,,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,,,,,,,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02
2014-07-30,0.02,,0.02,,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,,,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,,,,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,0.02,,,0.02,,0.02,,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,0.02,,,,,0.02,,0.02,,,,0.02,0.02,,,0.02
2014-07-31,0.02,,0.02,0.02,,,,,0.02,0.02,0.02,,0.02,,,,0.02,,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,,,0.02,,0.02,,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,,,,0.02,0.02,,,,
2014-08-01,0.02,,,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,,0.02,,,0.02,,,0.02,,0.02,,,,,0.02,0.02,,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,0.02,,0.02,,,0.02,,,0.02,0.02,,0.02,,0.02,0.02,
2014-08-04,,,0.02,,0.02,,0.02,,,0.02,,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,0.02,,,0.02,0.02,,,0.02,0.02,,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,,0.02,,,,0.02,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,,0.02,,
2014-08-05,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,,,0.02,0.02,0.02,0.02,,0.02,,0.02,,,,0.02,,,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,,0.02,,,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02,0.02,,,0.02,,,0.02,,0.02,0.02,0.02,,,,0.02,0.02,,0.02,
2014-08-06,,,0.02,0.02,0.02,,,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,,,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,,0.02,,0.02,,0.02,,0.02,0.02,,,,,,,,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.02,,0.02,,0.02,,,,0.02,
2014-08-07,,,0.02,,,0.02,,0.02,0.02,,,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,,,,,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,,,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,,,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,,,0.02
2014-08-08,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,,,,,,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,,,,0.02,,,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,,0.02,,,,0.02,,
2014-08-11,0.02,,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,,0.02,,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,,0.02,,,,,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,,0.02,,,,0.02,,0.02,,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,0.02,,
2014-08-12,,0.02,,0.02,0.02,,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,,,,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,0.02,,0.02,,0.02,,,,0.02,,,0.02,0.02
2014-08-13,,0.02,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,,0.02,0.02,0.02,,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,,0.02,,,,,0.02,0.02,0.02,,,0.02,,,,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,,,,0.02
2014-08-14,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,,,,,0.02,0.02,,,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,,0.02,,,0.02,,,0.02,,,0.02,,0.02,,,,0.02,,,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,,,0.02,,,0.02,,0.02,0.02
2014-08-15,,0.02,0.02,0.02,,,,,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,0.02,,,,0.02,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,,,0.02,,,0.02,0.02,,,0.02,,,0.02,,,,0.02,0.02,,,,0.02,0.02
2014-08-18,0.02,,,0.02,,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,0.02,,,,,0.02,0.02,,0.02,0.02,,,,,,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,,,0.02,0.02,,,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,,0.02,0.02,,0.02,0.02
2014-08-19,0.02,,0.02,,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,0.02,,,,0.02,,,,0.02,,0.02,,,0.02,0.02,0.02,,0.02,,,0.02,0.02,,0.02,,,0.02,,0.02,,,0.02,,,,0.02,,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02,0.02,0.02,0.02,,
2014-08-20,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,,0.02,,,0.02,0.02,0.02,,,0.02,,,,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,,,0.02,,,0.02,0.02,,,,,,,,,0.02,0.02,0.02,,0.02,0.02,,,0.02,,,,,0.02,0.02,,0.02,,,,0.02,,0.02
2014-08-21,0.02,0.02,,,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,,,,0.02,,,,,,0.02,0.02,,,,0.02,,0.02,0.02,,,,0.02,,,0.02,0.02
2014-08-22,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,,0.02,,,0.02,,,,,,0.02,,,0.02,,0.02,,0.02,0.02,,,0.02,,,0.02,,,,0.02,,,,,,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,,,0.02,0.02,,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,,,,0.02,,0.02,0.02,
2014-08-25,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,,,0.02,,0.02,,0.02,0.02,0.02,,,,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,,,,,0.02,0.02,0.02,,,,,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,0.02,,,,,0.02,0.02,0.02,,0.02,,,0.02
2014-08-26,,0.02,0.02,0.02,,0.02,,,,0.02,,,,0.02,,0.02,,,0.02,,0.02,,0.02,,,0.02,,0.02,,0.02,,,0.02,,,,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,
2014-08-27,,,,0.02,0.02,,,0.02,0.02,,,,,0.02,0.02,,0.02,,,,0.02,,,,,0.02,0.02,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,,,,0.02,,,,0.02,0.02,0.02,0.02,,,0.02,,,0.02,,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,,
2014-08-28,,0.02,0.02,0.02,,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,,0.02,,,0.02,0.02,,,,,,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,,,,,,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,0.02,0.02,,0.02,,0.02,,0.02,,,,,,,0.02,0.02,,,0.02
2014-08-29,,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,,,0.02,0.02,,0.02,0.02,,0.02,,,0.02,,,,0.02,,,,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,,0.02,,,,,,0.02,,0.02,,,,,0.02,0.02,0.02,,,,0.02,0.02,0.02,0.02
2014-09-01,0.02,,0.02,,0.02,,0.02,,,,0.02,,,,0.02,,0.02,,0.02,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,,,0.02,,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,,0.02,,,0.02,,0.02,,,0.02,,0.02
2014-09-02,0.02,,,,,,,,,0.02,,0.02,,,0.02,,0.02,,,0.02,0.02,,,,0.02,0.02,0.02,0.02,,0.02,,,,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,,0.02,,0.02,,0.02,0.02,,,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,
2014-09-03,,0.02,,0.02,,,,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,0.02,,0.02,,0.02,,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,,,0.02,,,0.02,,,,0.02,,0.02,,,0.02,,,,
2014-09-04,0.02,,,,0.02,0.02,0.02,,,0.02,,0.02,,,,,0.02,0.02,,,0.02,0.02,,,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,,,0.02,,,,0.02,0.02,,0.02,,,,,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,,,,0.02,,0.02,,0.02,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,,
2014-09-05,0.02,0.02,,,0.02,,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,,,,0.02,,0.02,0.02,,0.02,,,,,0.02,0.02,,,,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,,0.02,,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,,,,0.02,,,,,0.02,0.02
2014-09-09,0.02,,0.02,0.02,,,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,,,0.02,,,,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,0.02,,,,0.02,0.02,,,,,,,,0.02,0.02,,,,0.02,0.02,,0.02,,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,
2014-09-10,,0.02,0.02,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,,0.02,,,,,,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,,0.02,,0.02,0.02,,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,0.02,,,,0.02,,,,0.02,,,,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,
2014-09-11,0.02,0.02,0.02,,,,,,0.02,,0.02,,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02,,0.02,0.02,,,,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,,,0.02,,0.02,,,0.02,0.02,,,,0.02,,0.02,0.02,0.02,,0.02,,,0.02
2014-09-12,0.02,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,0.02,,,,,,,0.02,,0.02,,,,0.02,,,0.02,,,,0.02,,,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,0.02,,,,0.02,,,0.02,,,0.02,0.02,,0.02,,,,0.02
2014-09-15,0.02,,0.02,,0.02,,,,0.02,0.02,,,0.02,,,,0.02,,0.02,,,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,,0.02,0.02,,,,,,,0.02,,0.02,0.02,,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02
2014-09-16,0.02,,,0.02,0.02,,,,,0.02,,,,,,,,,,0.02,0.02,,0.02,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.02,0.02,,,0.02,,0.02,,0.02,0.02,,,,,,,,,,0.02,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02
2014-09-17,,,,,0.02,,0.02,,0.02,0.02,,0.02,,,0.02,,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,0.02,0.02,,0.02,,0.02,,,0.02,0.02,0.02,,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,0.02,0.02,,0.02,0.02,,,,0.02,,0.02,0.02,,,0.02,,,0.02,0.02,,0.02,0.02,,0.02,,,,,,,,0.02,,0.02,
2014-09-18,0.02,,,,,0.02,,,,,,,,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,,,0.02,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,0.02,,,,,,0.02,0.02,0.02,0.02,,0.02,0.02,,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,,0.02
